Original,Target,Manipulation,Description
0508.mp4/0084.mp4/0040.mp4,0001.mp4,fake_video/0001_0508_0084_0040.mp4,"Change the face after combining 4 face parts(face: 0001.mp4, eyes: 0508.mp4, nose: 0084.mp4, mouth: 0040.mp4)"
0160.mp4/0416.mp4/0494.mp4,0002.mp4,fake_video/0002_0160_0416_0494.mp4,"Change the face after combining 4 face parts(face: 0002.mp4, eyes: 0160.mp4, nose: 0416.mp4, mouth: 0494.mp4)"
0238.mp4/0150.mp4/0525.mp4,0003.mp4,fake_video/0003_0238_0150_0525.mp4,"Change the face after combining 4 face parts(face: 0003.mp4, eyes: 0238.mp4, nose: 0150.mp4, mouth: 0525.mp4)"
0281.mp4/0123.mp4/0170.mp4,0004.mp4,fake_video/0004_0281_0123_0170.mp4,"Change the face after combining 4 face parts(face: 0004.mp4, eyes: 0281.mp4, nose: 0123.mp4, mouth: 0170.mp4)"
0492.mp4/0268.mp4/0363.mp4,0005.mp4,fake_video/0005_0492_0268_0363.mp4,"Change the face after combining 4 face parts(face: 0005.mp4, eyes: 0492.mp4, nose: 0268.mp4, mouth: 0363.mp4)"
0520.mp4/0506.mp4/0446.mp4,0006.mp4,fake_video/0006_0520_0506_0446.mp4,"Change the face after combining 4 face parts(face: 0006.mp4, eyes: 0520.mp4, nose: 0506.mp4, mouth: 0446.mp4)"
0188.mp4/0150.mp4/0165.mp4,0007.mp4,fake_video/0007_0188_0150_0165.mp4,"Change the face after combining 4 face parts(face: 0007.mp4, eyes: 0188.mp4, nose: 0150.mp4, mouth: 0165.mp4)"
0535.mp4/0478.mp4/0068.mp4,0008.mp4,fake_video/0008_0535_0478_0068.mp4,"Change the face after combining 4 face parts(face: 0008.mp4, eyes: 0535.mp4, nose: 0478.mp4, mouth: 0068.mp4)"
0514.mp4/0244.mp4/0114.mp4,0009.mp4,fake_video/0009_0514_0244_0114.mp4,"Change the face after combining 4 face parts(face: 0009.mp4, eyes: 0514.mp4, nose: 0244.mp4, mouth: 0114.mp4)"
0234.mp4/0481.mp4/0372.mp4,0010.mp4,fake_video/0010_0234_0481_0372.mp4,"Change the face after combining 4 face parts(face: 0010.mp4, eyes: 0234.mp4, nose: 0481.mp4, mouth: 0372.mp4)"
